posting_id,image,image_phash,title,label_group,hight,width,hamming_median_dist,post_per_group,target,fold,best25_mean_img,true_postings,pred_postings_img,f1_img,best25_mean_text,f1_text,pred_postings_text,joined_pred,f1_joined
train_1802986387,00144a49c56599d45354a1c28104c039.jpg,f815c9bb833ab4c8,Jubah anak size 1-12 thn,1835033137,640,640,30.0,7,4687,0,0.42372608184814453,train_1802986387 train_1396161074 train_713073906 train_1275191373 train_2490201622 train_2411544001 train_1859060005,train_1802986387,0.25,0.6235228051999834,0.4444444444444444,train_1802986387 train_2490201622,train_1802986387 train_2490201622,0.4444444444444444
train_1598329973,001d7f5d9a2fac714f4d5f37b3baffb4.jpg,bec8d09693634b4b,Atasan Rajut Wanita LISDIA SWEATER,2462407944,700,700,28.0,3,6347,0,0.43938055634498596,train_1598329973 train_841015183 train_4224502769,train_1598329973,0.5,0.7611216298558965,1.0,train_1598329973 train_841015183 train_4224502769,train_1598329973 train_4224502769 train_841015183,1.0
train_4196427721,002039aaf8618627a0442d5e89e5dda6.jpg,e98c873acc65946e,Korek Kuping LED untuk balita CherryBabyKidsShop SP LC,349297863,640,640,28.0,8,897,0,0.7565484046936035,train_4196427721 train_1482447822 train_2346601204 train_2221959828 train_3757879175 train_3256219015 train_1815218122 train_3976583605,train_4196427721 train_2221959828 train_3757879175,0.5454545454545454,0.4513377396661209,0.2222222222222222,train_4196427721,train_2221959828 train_3757879175 train_4196427721,0.5454545454545454
train_2985955659,002f978c58a44a00aadfca71c3cad2bb.jpg,bf38f0e083d7c710,HnKfashion Sweater Hoodie WHO Printing BabyTerry - Fit L,3415582503,314,314,2.0,3,8795,0,0.6908000111579895,train_2985955659 train_3916258742 train_4156734436,train_2985955659 train_3916258742 train_4156734436,1.0,0.5871862025694535,0.8,train_2985955659 train_3916258742,train_2985955659 train_3916258742 train_4156734436,1.0
train_3466601092,004076b57135e761ab8b41d84acc4c94.jpg,aa2c0ee4eb6ba0cd,[Shiyan] mainan gigitan bayi set pack baby teether melatih gigi bayi diatas 3 bulan atau lebih,2933791615,1024,1024,2.0,2,7555,0,0.6340426802635193,train_3466601092 train_354147588,train_3466601092 train_354147588,1.0,0.4951714770220586,1.0,train_3466601092 train_354147588,train_3466601092 train_354147588,1.0
train_1617041019,004811219262c545d74e427c5ea2d724.jpg,eae237c46618c799,Molina Kaftan / YADITA SPARKLE KAFTAN / KEANU DIAMOND KAFTAN / Talisha Kaftan,894203507,640,640,24.0,2,2333,0,0.46921098232269287,train_1617041019 train_2772927896,train_1617041019,0.6666666666666666,0.4511522981872398,1.0,train_1617041019 train_2772927896,train_1617041019 train_2772927896,1.0
train_4193869534,005bb468c673fb7f70319c120fb7106b.jpg,fee3811cf36224c3,Pelindung Lutut Bayi | Kaos Kaki Baby Knee Pad Protector,983229802,1024,1024,26.0,2,2575,0,0.7128992080688477,train_4193869534 train_935952718,train_4193869534,0.6666666666666666,0.7858575239171115,0.3333333333333333,train_4193869534 train_2796119577 train_1109958472 train_3860005169,train_1109958472 train_2796119577 train_3860005169 train_4193869534,0.3333333333333333
train_2679824623,006f6bc53dc5696a5514fc4ba00b6c49.jpg,ec8f923469e3c4e1,Marcks Teens Compact Powder,1529085103,699,699,26.0,19,3907,0,0.9055960774421692,train_2679824623 train_3116514616 train_1081627741 train_3048513916 train_3533869634 train_1727195683 train_2358888198 train_3778483304 train_898943418 train_882529833 train_2075598628 train_677399001 train_1550061097 train_3695108875 train_3373078310 train_2501906467 train_1481142988 train_4101887958 train_1761787170,train_2679824623 train_1081627741 train_3695108875 train_3373078310 train_2501906467 train_1761787170,0.48,0.9327839965506589,0.8125,train_2679824623 train_3116514616 train_1081627741 train_3048513916 train_2358888198 train_3778483304 train_898943418 train_882529833 train_677399001 train_2501906467 train_1481142988 train_4101887958 train_1761787170,train_1081627741 train_1481142988 train_1761787170 train_2358888198 train_2501906467 train_2679824623 train_3048513916 train_3116514616 train_3373078310 train_3695108875 train_3778483304 train_4101887958 train_677399001 train_882529833 train_898943418,0.8823529411764706
train_3297816647,007d97e52d6da9ed8fc0eeb8cf4aab84.jpg,f92dd296a07829da,HHG Kacamata Thug Life Double Mosaic Sunglasses Kaca mata Hitam Wanita Pria Unisex Import,371502910,1024,1024,24.0,2,947,0,0.5016805529594421,train_3297816647 train_2745874524,train_3297816647 train_2745874524,1.0,0.6040151478588685,1.0,train_3297816647 train_2745874524,train_2745874524 train_3297816647,1.0
train_3663748113,0082c9c530852846a5f970ca1b8dc334.jpg,9acce1334ced3a94,Packing Kardus Tambahan - Packing Ekstra Kardus - Packing Pengaman Agar Tidak Bocor,215542278,1024,1024,2.0,4,561,0,0.8729313015937805,train_3663748113 train_1398921910 train_2508338935 train_3329521695,train_3663748113 train_1398921910 train_2508338935 train_3329521695,1.0,0.570099830736017,0.6666666666666666,train_3663748113 train_3329521695,train_1398921910 train_2508338935 train_3329521695 train_3663748113,1.0
